ID;Active(0/1);Name;Categories (x,y,z_);Disponible para pedidos (0 = No, 1 = Si);Mostrar Precio (0 = No, 1 = Si);Description;Image URLs (x,y,z...);Gestor avanzado de inventario;Cuando no haya existencias;Referencia nº;Etiquetas (x,y,z...)
FR-001;1;Porta Faro Para Unidad Redonda Chica;12;1;0;Porta Faro Para Unidad Redonda Chica;http://a72aa5f0.ngrok.io/images/faros/FR-001.jpg;1;1;FR-001;Faros
FR-002;1;Vicel Especial Cromado Chico;12;1;0;Vicel Especial Cromado Chico;http://a72aa5f0.ngrok.io/images/faros/FR-002.jpg;1;1;FR-002;Faros
FR-005;1;Faro Redondo Oper Bus;12;1;0;Faro Redondo Oper Bus;http://a72aa5f0.ngrok.io/images/faros/FR-005.jpg;1;1;FR-005;Faros
FR-006;1;Unidad Rectangular Grande Hella P. H4;12;1;0;Unidad Rectangular Grande Hella P. H4;http://a72aa5f0.ngrok.io/images/faros/FR-006.jpg;1;1;FR-006;Faros
FR-007;1;Unidad Redonda Grande Hella P. H4;12;1;0;Unidad Redonda Grande Hella P. H4;http://a72aa5f0.ngrok.io/images/faros/FR-007.jpg;1;1;FR-007;Faros
FR-008;1;Juego De Faros Micro Hella;12;1;0;Juego De Faros Micro Hella;http://a72aa5f0.ngrok.io/images/faros/FR-008.jpg;1;1;FR-008;Faros
FR-014;1;Faro M-220 Marcopolo Económico H4;12;1;0;Faro M-220 Marcopolo Económico H4;http://a72aa5f0.ngrok.io/images/faros/FR-014.jpg;1;1;FR-014;Faros
FR-015;1;Faro Auxiliar Mp 120;12;1;0;Faro Auxiliar Mp 120;http://a72aa5f0.ngrok.io/images/faros/FR-015.jpg;1;1;FR-015;Faros
FR-017;1;Faro Redondo O-500 / Boxer 2013 Con Vela;12;1;0;Faro Redondo O-500 / Boxer 2013 Con Vela;http://a72aa5f0.ngrok.io/images/faros/FR-017.jpg;1;1;FR-017;Faros
FR-019;1;Faro De Baja P. Za ro Económico;12;1;0;Faro De Baja P. Za ro Económico;http://a72aa5f0.ngrok.io/images/faros/FR-019.jpg;1;1;FR-019;Faros
FR-020;1;Faro De Alta P. Za ro Económico;12;1;0;Faro De Alta P. Za ro Económico;http://a72aa5f0.ngrok.io/images/faros/FR-020.jpg;1;1;FR-020;Faros
FR-021;1;Faro Redondo Iam M-220 H4;12;1;0;Faro Redondo Iam M-220 H4;http://a72aa5f0.ngrok.io/images/faros/FR-021.jpg;1;1;FR-021;Faros
FR-022;1;Faro Redondo Iam M-220 H1;12;1;0;Faro Redondo Iam M-220 H1;http://a72aa5f0.ngrok.io/images/faros/FR-022.jpg;1;1;FR-022;Faros
FR-023;1;Faro Redondo Andare Económico H4;12;1;0;Faro Redondo Andare Económico H4;http://a72aa5f0.ngrok.io/images/faros/FR-023.jpg;1;1;FR-023;Faros
FR-024;1;Unidad Redonda H-6024;12;1;0;Unidad Redonda H-6024;http://a72aa5f0.ngrok.io/images/faros/FR-024.jpg;1;1;FR-024;Faros
FR-025;1;Unidad Rectangular Grande Sellada H-6054;12;1;0;Unidad Rectangular Grande Sellada H-6054;http://a72aa5f0.ngrok.io/images/faros/FR-025.jpg;1;1;FR-025;Faros
