ID;Active(0/1);Name;Categories (x,y,z_);Disponible para pedidos (0 = No, 1 = Si);Mostrar Precio (0 = No, 1 = Si);Description;Image URLs (x,y,z...);Gestor avanzado de inventario;Cuando no haya existencias;Referencia nº
ACC-101 ;1;Tapón Para Tuerca 10060B ;8;1;0;Tapón Para Tuerca 10060B ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-101.jpg;1;1;ACC-101 
ACC-103 ;1;Tapón Para Tuerca 10059B ;8;1;0;Tapón Para Tuerca 10059B ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-103.jpg;1;1;ACC-103 
ACC-104 ;1;Tapón Para Tuerca 10038 ;8;1;0;Tapón Para Tuerca 10038 ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-104.jpg;1;1;ACC-104 
ACC-105 ;1;Tapón Para Tuerca 10048 ;8;1;0;Tapón Para Tuerca 10048 ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-105.jpg;1;1;ACC-105 
ACC-106 ;1;Tapón Para Tuerca 10770B ;8;1;0;Tapón Para Tuerca 10770B ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-106.jpg;1;1;ACC-106 
ACC-107 ;1;Tapón Para Tuerca 10569B ;8;1;0;Tapón Para Tuerca 10569B ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-107.jpg;1;1;ACC-107 
ACC-108 ;1;Tapón Para Tuerca Gigante Pico ;8;1;0;Tapón Para Tuerca Gigante Pico ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-108.jpg;1;1;ACC-108 
ACC-109 ;1;Tapón Para Tuerca Gigante Redondo ;8;1;0;Tapón Para Tuerca Gigante Redondo ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-109.jpg;1;1;ACC-109 
ACC-110 ;1;Tapón Para Tuerca Cilindro Con Pico Corto ;8;1;0;Tapón Para Tuerca Cilindro Con Pico Corto ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-110.jpg;1;1;ACC-110 
ACC-111 ;1;Tapón Para Tuerca 11795L Pico Prisma ;8;1;0;Tapón Para Tuerca 11795L Pico Prisma ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-111.jpg;1;1;ACC-111 
ACC-112 ;1;Porta Vaso Cromado Fili Carbono ;8;1;0;Porta Vaso Cromado Fili Carbono ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-112.jpg;1;1;ACC-112 
ACC-113 ;1;Porta Vaso Cromado Abierto ;8;1;0;Porta Vaso Cromado Abierto ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-113.jpg;1;1;ACC-113 
ACC-114 ;1;Caja Para Cigarro Y Encendedor ;8;1;0;Caja Para Cigarro Y Encendedor ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-114.jpg;1;1;ACC-114 
ACC-115 ;1;Caja Para Boletos Cromada ;8;1;0;Caja Para Boletos Cromada ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-115.jpg;1;1;ACC-115 
ACC-116 ;1;Bisel Para Tablero Grande ;8;1;0;Bisel Para Tablero Grande ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-116.jpg;1;1;ACC-116 
ACC-117 ;1;Jgo De Biseles Para Switch (3 Pzs.) ;8;1;0;Jgo De Biseles Para Switch (3 Pzs.) ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-117.jpg;1;1;ACC-117 
ACC-118 ;1;Tapa Cromada Para Pata De Cabra ;8;1;0;Tapa Cromada Para Pata De Cabra ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-118.jpg;1;1;ACC-118 
ACC-119 ;1;Extensión Para Switch Cola De Rata ;8;1;0;Extensión Para Switch Cola De Rata ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-119.jpg;1;1;ACC-119 
ACC-120 ;1;Jgo. Cubre Tornillo Grande (10 Pzs.) ;8;1;0;Jgo. Cubre Tornillo Grande (10 Pzs.) ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-120.jpg;1;1;ACC-120 
ACC-122 ;1;Perilla Para Palanca Cobra ;8;1;0;Perilla Para Palanca Cobra ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-122.jpg;1;1;ACC-122 
ACC-130 ;1;Peluche Azul Rey Chico ;8;1;0;Peluche Azul Rey Chico ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-130.jpg;1;1;ACC-130 
ACC-144 ;1;Burbuja Ayco Negra Con Resaque ;8;1;0;Burbuja Ayco Negra Con Resaque ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-144.jpg;1;1;ACC-144 
ACC-145 ;1;Burbuja Ayco Negra Sin Resaque ;8;1;0;Burbuja Ayco Negra Sin Resaque ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-145.jpg;1;1;ACC-145 
ACC-155 ;1;Rótulo Enredadera Verde-Blanco ;8;1;0;Rótulo Enredadera Verde-Blanco ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-155.jpg;1;1;ACC-155 
ACC-156 ;1;Rotulo Lineas Verde-Cromado 2 ;8;1;0;Rotulo Lineas Verde-Cromado 2 ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-156.jpg;1;1;ACC-156 
ACC-157 ;1;Rótulo Líneas Blanco-Plata 1 ;8;1;0;Rótulo Líneas Blanco-Plata 1 ;http://a72aa5f0.ngrok.io/images/accesorios/ACC-157.jpg;1;1;ACC-157 
APN-001 ;1;Válvula De Puerta Micro ;9;1;0;Válvula De Puerta Micro ;http://a72aa5f0.ngrok.io/images/apn/APN-001.jpg;1;1;APN-001 
APN-002 ;1;Válvula De Puerta FNA ;9;1;0;Válvula De Puerta FNA ;http://a72aa5f0.ngrok.io/images/apn/APN-002.jpg;1;1;APN-002 
APN-003 ;1;Válvula De Puerta NP ;9;1;0;Válvula De Puerta NP ;http://a72aa5f0.ngrok.io/images/apn/APN-003.jpg;1;1;APN-003 
APN-004 ;1;Válvula De Puerta Tipo Cohete 1820-1 ;9;1;0;Válvula De Puerta Tipo Cohete 1820-1 ;http://a72aa5f0.ngrok.io/images/apn/APN-004.jpg;1;1;APN-004 
APN-005 ;1;Válvula Reguladora Aire 1910 ;9;1;0;Válvula Reguladora Aire 1910 ;http://a72aa5f0.ngrok.io/images/apn/APN-005.jpg;1;1;APN-005 
APN-006 ;1;Válvula Doble Chek 1902 ;9;1;0;Válvula Doble Chek 1902 ;http://a72aa5f0.ngrok.io/images/apn/APN-006.jpg;1;1;APN-006 
APN-010 ;1;Tapa Para Pistón 3849 ;9;1;0;Tapa Para Pistón 3849 ;http://a72aa5f0.ngrok.io/images/apn/APN-010.jpg,http://a72aa5f0.ngrok.io/images/apn/APN-010B.jpg;1;1;APN-010 
APN-012 ;1;Tapa Para Pistón 3851 ;9;1;0;Tapa Para Pistón 3851 ;http://a72aa5f0.ngrok.io/images/apn/APN-012.jpg,http://a72aa5f0.ngrok.io/images/apn/APN-012B.jpg;1;1;APN-012 
APN-013 ;1;Tapa Para Pistón 3855 ;9;1;0;Tapa Para Pistón 3855 ;http://a72aa5f0.ngrok.io/images/apn/APN-013.jpg,http://a72aa5f0.ngrok.io/images/apn/APN-013B.jpg;1;1;APN-013 
APN-014 ;1;Tapa Para Pistón 3850 ;9;1;0;Tapa Para Pistón 3850 ;http://a72aa5f0.ngrok.io/images/apn/APN-014.jpg,http://a72aa5f0.ngrok.io/images/apn/APN-014B.jpg;1;1;APN-014 
