ID;Active(0/1);Name;Categories (x,y,z_);Disponible para pedidos (0 = No, 1 = Si);Mostrar Precio (0 = No, 1 = Si);Description;Image URLs (x,y,z...);Gestor avanzado de inventario;Cuando no haya existencias;Referencia nº;Etiquetas (x,y,z...)
MIS-265 ;1;Parrilla M.P. Boxer Negra M.B. ;17;1;0;<div><p>Parrilla M.P. Boxer Negra M.B.</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-265.jpg;1;1;MIS-265 ;Parrilla
MIS-266 ;1;Parrilla Freigthliner Columbia I ;17;1;0;<div><p>Parrilla Freigthliner Columbia I</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-266.jpg;1;1;MIS-266 ;Parrilla
MIS-267 ;1;Parrilla Freigthliner Columbia II ;17;1;0;<div><p>Parrilla Freigthliner Columbia II</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-267.jpg;1;1;MIS-267 ;Parrilla
MIS-269 ;1;Porta Filtro Reforzado ;17;1;0;<div><p>Porta Filtro Reforzado</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-269.jpg;1;1;MIS-269 ;Porta Filtro
MIS-270 ;1;Domo Abatible Con Extractor 12V ;17;1;0;<div><p>Domo Abatible Con Extractor 12V</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-270.jpg;1;1;MIS-270 ;Domo
MIS-272 ;1;Domo Abatible Sin Extractor ;17;1;0;<div><p>Domo Abatible Sin Extractor</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-272.jpg;1;1;MIS-272 ;Domo
MIS-273 ;1;Tapete De Volvo Gris ;17;1;0;<div><p>Tapete De Volvo Gris</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-273.jpg;1;1;MIS-273 ;Tapete
MIS-274 ;1;Tapete De Volvo Brownie ;17;1;0;<div><p>Tapete De Volvo Brownie</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-274.jpg;1;1;MIS-274 ;Tapete
MIS-275 ;1;Tapete De Volvo Verde Pasto ;17;1;0;<div><p>Tapete De Volvo Verde Pasto</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-275.jpg;1;1;MIS-275 ;Tapete
MIS-276 ;1;Tapete De Volvo Tinto ;17;1;0;<div><p>Tapete De Volvo Tinto</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-276.jpg;1;1;MIS-276 ;Tapete
MIS-277 ;1;Tapete De Volvo Negro ;17;1;0;<div><p>Tapete De Volvo Negro</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-277.jpg;1;1;MIS-277 ;Tapete
MIS-278 ;1;Tapete De Volvo Azul ;17;1;0;<div><p>Tapete De Volvo Azul</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-278.jpg;1;1;MIS-278 ;Tapete
MIS-279 ;1;Tapete De Volvo Rojo ;17;1;0;<div><p>Tapete De Volvo Rojo</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-279.jpg;1;1;MIS-279 ;Tapete
MIS-280 ;1;Tapete Spaghetti Gris ;17;1;0;<div><p>Tapete Spaghetti Gris</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-280.jpg;1;1;MIS-280 ;Tapete
MIS-281 ;1;Tapete Spaghetti Brownie ;17;1;0;<div><p>Tapete Spaghetti Brownie</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-281.jpg;1;1;MIS-281 ;Tapete
MIS-282 ;1;Tapete Spaghetti Verde Pasto ;17;1;0;<div><p>Tapete Spaghetti Verde Pasto</p></div><div><p><a href="http://www.grupo-ochoa.com.mx/index.php?controller=contact" class="btn btn-default">Pregunta por disponibilidad</a></p></div>;http://2b6e3b13.ngrok.io/images/miscelanea/MIS-282.jpg;1;1;MIS-282 ;Tapete
